"instance","enforce_time_windows","seed","scenario","algo","neighborhood_family","inter_type","intra_type","initial_temp","cooling_rate","tabu_tenure","iterations","penalty_weight"
"data/data202.vrp","oui","47","TABU_intra_2opt_baseline","tabu","intra","relocate","2opt","1250","0,9995","50","30000","1000"
"data/data202.vrp","oui","47","SA_tuning_T1000_C09995","sa","inter","relocate","2opt","1000","0,9995","50","30000","1000"
"data/data202.vrp","oui","47","SA_tuning_T1250_C09993","sa","inter","relocate","2opt","1250","0,9993","50","30000","1000"
"data/data202.vrp","oui","47","SA_tuning_T1250_C09995","sa","inter","relocate","2opt","1250","0,9995","50","30000","1000"
"data/data202.vrp","oui","47","SA_tuning_T1250_C09997","sa","inter","relocate","2opt","1250","0,9997","50","30000","1000"
"data/data202.vrp","oui","47","SA_tuning_T1400_C09995","sa","inter","relocate","2opt","1400","0,9995","50","30000","1000"
"data/data202.vrp","oui","47","TABU_tuning_tenure_40","tabu","inter","relocate","2opt","1250","0,9995","40","30000","1000"
"data/data202.vrp","oui","47","TABU_tuning_tenure_50","tabu","inter","relocate","2opt","1250","0,9995","50","30000","1000"
"data/data202.vrp","oui","47","TABU_tuning_tenure_60","tabu","inter","relocate","2opt","1250","0,9995","60","30000","1000"
"data/data202.vrp","oui","47","TABU_tuning_tenure_70","tabu","inter","relocate","2opt","1250","0,9995","70","30000","1000"
"data/data202.vrp","oui","48","SA_inter_relocate_baseline","sa","inter","relocate","2opt","1250","0,9995","50","30000","1000"
"data/data202.vrp","oui","48","SA_inter_exchange_baseline","sa","inter","exchange","2opt","1250","0,9995","50","30000","1000"
